Trial,Participant,StartX,StartY,TargetX,TargetY,Width,Time,Success
1,0,401,499,310,400,40,0.851,1
2,0,307,402,310,400,40,1.048,1
3,0,312,392,220,220,40,1.1,1
4,0,225,212,490,400,40,2.167,1
5,0,504,404,310,490,40,0.967,1
6,0,311,490,490,400,40,0.933,1
7,0,498,405,490,310,40,1.3,1
8,0,496,306,400,400,40,0.866,1
9,0,403,402,220,490,40,1.351,1
10,0,211,485,220,490,40,1.316,1
11,0,206,476,490,400,40,1.201,1
12,0,476,403,310,400,40,0.899,1
13,0,302,395,400,220,40,0.951,1
14,0,404,221,490,310,40,1.033,1
15,0,480,308,310,220,40,0.9,1
16,0,312,221,400,490,40,1.066,1
17,0,390,475,490,310,40,0.884,1
18,0,494,302,400,400,40,0.984,1
19,0,400,394,310,490,40,0.866,1
20,0,305,487,490,400,40,0.901,1
21,0,490,408,310,220,40,1.016,1
22,0,297,222,400,220,40,0.733,1
23,0,400,225,310,490,40,0.984,1
24,0,308,477,490,220,40,0.967,0
25,0,495,193,490,490,40,1.516,1
26,0,492,496,220,220,40,1.034,1
27,0,225,234,310,220,40,0.849,1
28,0,305,225,220,400,40,0.85,1
29,0,213,401,310,220,40,1.034,1
30,0,320,220,220,400,40,0.834,1
31,0,222,395,310,310,40,0.816,1
32,0,322,301,310,220,40,0.783,1
33,0,312,225,220,400,40,0.867,1
34,0,222,400,400,220,40,0.884,1
35,0,408,221,490,490,40,1.033,1
36,0,486,480,220,310,40,0.9,1
37,0,223,321,400,490,40,0.884,1
38,0,391,492,310,220,40,0.95,1
39,0,308,212,220,220,40,0.849,1
40,0,219,216,220,490,40,1.317,1
41,0,216,489,490,220,40,1.067,1
42,0,492,218,490,310,40,1.016,1
43,0,498,296,220,490,40,1.434,1
44,0,221,484,490,220,40,1.183,1
45,0,476,227,310,400,40,0.967,1
46,0,312,392,490,490,40,0.933,1
47,0,495,484,220,490,40,0.95,1
48,0,202,489,400,310,40,0.967,1
49,0,394,320,400,220,40,1.067,1
50,0,402,215,490,310,40,0.9,1
51,0,495,308,490,490,40,0.867,1
52,0,489,489,400,220,40,1.049,1
53,0,403,222,490,400,40,0.851,1
54,0,494,395,310,490,40,0.8,1
55,0,303,483,490,400,40,0.85,1
56,0,493,411,400,400,40,0.8,1
57,0,396,410,220,490,40,0.95,1
58,0,225,484,400,400,40,0.867,1
59,0,407,398,400,310,40,0.682,1
60,0,407,310,490,490,40,0.834,1
61,0,496,508,310,310,40,1.084,1
62,0,313,316,490,400,40,0.866,1
63,0,487,390,220,220,40,1.183,1
64,0,230,227,400,310,40,0.8,1
65,0,412,309,220,310,40,0.9,1
66,0,233,307,490,490,40,0.966,1
67,0,478,490,490,490,40,0.967,1
68,0,495,484,400,310,40,0.85,1
69,0,393,311,400,220,40,0.667,1
70,0,400,231,400,490,40,0.866,0
71,0,396,521,400,490,40,0.701,1
72,0,393,495,400,490,40,1.05,1
73,0,387,486,310,400,40,0.816,1
74,0,299,411,400,310,40,0.934,1
75,0,409,310,220,490,40,0.983,1
76,0,231,474,220,490,40,1.033,1
77,0,211,487,220,490,40,1.134,1
78,0,220,501,310,490,40,1.116,1
79,0,317,495,310,220,40,1.118,1
80,0,311,225,400,400,40,0.949,1
81,0,394,404,400,310,40,0.717,1
82,0,400,317,400,310,40,1.083,1
83,0,400,317,400,310,40,0.584,1
84,0,400,317,490,490,40,0.983,1
85,0,502,495,400,310,40,0.784,1
86,0,410,321,490,400,40,0.85,1
87,0,485,415,220,400,40,0.966,1
88,0,212,386,400,220,40,0.967,1
89,0,386,222,400,220,40,0.533,1
90,0,386,222,490,310,40,0.934,1
91,0,485,315,400,310,40,0.7,1
92,0,396,308,400,310,40,0.999,1
93,0,401,315,490,310,40,1.118,1
94,0,497,315,310,310,40,0.883,1
95,0,318,305,220,490,40,1.267,1
96,0,218,498,310,400,40,0.833,1
97,0,314,397,490,220,40,0.966,1
98,0,491,232,310,400,40,0.967,1
99,0,306,409,220,310,40,1.3,1
100,0,216,309,400,400,40,1.033,1
101,0,396,403,310,220,40,0.983,1
102,0,311,230,220,400,40,0.883,1
